label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2	fold
BFB	0.6334142684936523	1.0	envelope	none	4	9	13	7	0.7777777777777778	0.5384615384615384	0.6363636363636364	0.7142857142857142	HCC1937
seismic_amplification	0.8520945906639099	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	HCC1937
ecDNA	0.4879969656467438	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	HCC1954
chromothripsis	0.7488544583320618	0.67	representative	none	2	6	3	2	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.3703703703703703	HCC1954
BFB	0.2272004634141922	0.67	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	HCC1954
seismic_amplification	0.7843144536018372	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	HCC1954
ecDNA	0.4875129163265228	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	HOS
chromothripsis	0.6390383243560791	0.67	representative	none	8	6	14	4	0.6666666666666666	0.2857142857142857	0.4	0.5263157894736842	HOS
BFB	0.5864343643188477	1.5	representative	none	4	9	12	8	0.8888888888888888	0.6666666666666666	0.761904761904762	0.8333333333333333	HOS
seismic_amplification	0.7584728002548218	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	HOS
ecDNA	0.5375247001647949	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	HT3
chromothripsis	0.6461356282234192	0.67	representative	none	4	6	7	3	0.5	0.4285714285714285	0.4615384615384615	0.4838709677419354	HT3
BFB	0.5884031057357788	1.0	envelope	none	2	9	7	6	0.6666666666666666	0.8571428571428571	0.75	0.6976744186046512	HT3
seismic_amplification	0.7611352205276489	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	HT3
ecDNA	0.5811620950698853	0.67	representative	none	2	5	4	3	0.6	0.75	0.6666666666666665	0.625	MDA_MD_361
chromothripsis	0.7290264964103699	0.67	representative	none	2	7	4	2	0.2857142857142857	0.5	0.3636363636363636	0.3125	MDA_MD_361
BFB	0.5423884987831116	0.67	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	MDA_MD_361
seismic_amplification	0.570080041885376	0.67	representative	none	8	7	10	6	0.8571428571428571	0.6	0.7058823529411764	0.7894736842105262	MDA_MD_361
ecDNA	0.4785052537918091	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	MDA_MD_453
chromothripsis	0.6622350215911865	0.67	representative	none	4	7	7	4	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5714285714285714	MDA_MD_453
BFB	0.302451491355896	0.67	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666	MDA_MD_453
seismic_amplification	0.6883984804153442	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	MDA_MD_453
ecDNA	0.7010087370872498	0.67	representative	none	1	5	2	2	0.4	1.0	0.5714285714285715	0.4545454545454545	MS751
chromothripsis	0.6348977088928223	0.67	representative	none	4	6	7	3	0.5	0.4285714285714285	0.4615384615384615	0.4838709677419354	MS751
BFB	0.6547523140907288	1.0	envelope	none	2	9	7	6	0.6666666666666666	0.8571428571428571	0.75	0.6976744186046512	MS751
seismic_amplification	0.7906039953231812	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	MS751
ecDNA	0.5203080773353577	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	OMC1
chromothripsis	0.6171667575836182	0.67	representative	none	2	6	4	3	0.5	0.75	0.6	0.5357142857142857	OMC1
BFB	0.2943123877048492	1.0	representative	none	2	9	8	5	0.5555555555555556	0.625	0.5882352941176471	0.5681818181818182	OMC1
seismic_amplification	0.7867487072944641	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	OMC1
ecDNA	0.4133610725402832	1.0	envelope	containment	4	5	15	4	0.8	0.2666666666666666	0.4	0.5714285714285714	QGU
chromothripsis	0.6421007513999939	1.5	envelope	containment	8	6	13	4	0.6666666666666666	0.3076923076923077	0.4210526315789473	0.5405405405405406	QGU
BFB	0.4733799397945404	1.5	envelope	none	4	9	15	8	0.8888888888888888	0.5333333333333333	0.6666666666666667	0.7843137254901961	QGU
seismic_amplification	0.7411395311355591	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	QGU
ecDNA	0.6230344772338867	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SCC090
chromothripsis	0.6585465669631958	0.67	representative	none	1	5	2	2	0.4	1.0	0.5714285714285715	0.4545454545454545	SCC090
BFB	0.6149247884750366	1.0	envelope	none	8	9	14	8	0.8888888888888888	0.5714285714285714	0.6956521739130435	0.7999999999999998	SCC090
seismic_amplification	0.8663128614425659	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SCC090
ecDNA	0.5254576206207275	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	SCC152
chromothripsis	0.718636155128479	0.67	representative	none	2	7	3	2	0.2857142857142857	0.6666666666666666	0.4	0.3225806451612903	SCC152
BFB	0.2752164304256439	1.0	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666	SCC152
seismic_amplification	0.806883692741394	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SCC152
ecDNA	0.632775068283081	0.67	representative	none	2	5	2	2	0.4	1.0	0.5714285714285715	0.4545454545454545	SCC154
chromothripsis	0.6848998069763184	0.67	representative	none	2	5	3	2	0.4	0.6666666666666666	0.5	0.4347826086956521	SCC154
BFB	0.5176712274551392	1.0	envelope	none	8	9	14	7	0.7777777777777778	0.5	0.6086956521739131	0.7000000000000001	SCC154
seismic_amplification	0.8753644824028015	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SCC154
ecDNA	0.5688894987106323	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SIHA
chromothripsis	0.6673872470855713	0.67	representative	none	1	6	2	2	0.3333333333333333	1.0	0.5	0.3846153846153846	SIHA
BFB	0.5664286613464355	0.67	representative	none	4	10	13	8	0.8	0.6153846153846154	0.6956521739130435	0.7547169811320755	SIHA
seismic_amplification	0.8785262703895569	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SIHA
ecDNA	0.5590122938156128	0.67	representative	none	2	5	5	3	0.6	0.6	0.6	0.6	SKBR3
