label	quantile	threshold	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.935	0.437018170952797	13	89	7	0.5384615384615384	0.07865168539325842	0.1372549019607843	0.2482269503546099
ecDNA	0.9400000000000001	0.44282286465168	13	82	7	0.5384615384615384	0.08536585365853659	0.1473684210526316	0.2611940298507463
ecDNA	0.9450000000000001	0.4489189445972443	13	75	7	0.5384615384615384	0.09333333333333334	0.1590909090909091	0.2755905511811023
ecDNA	0.95	0.4539058804512024	13	68	7	0.5384615384615384	0.10294117647058823	0.17283950617283952	0.29166666666666663
ecDNA	0.955	0.46214083433151243	13	61	7	0.5384615384615384	0.11475409836065574	0.1891891891891892	0.3097345132743363
ecDNA	0.96	0.4670404016971588	13	55	6	0.46153846153846156	0.10909090909090909	0.1764705882352941	0.28037383177570085
ecDNA	0.965	0.48966667205095293	13	48	5	0.38461538461538464	0.10416666666666667	0.16393442622950818	0.25000000000000006
ecDNA	0.97	0.49493053406476945	13	41	5	0.38461538461538464	0.12195121951219512	0.18518518518518517	0.2688172043010753
ecDNA	0.975	0.5089902281761169	13	34	5	0.38461538461538464	0.14705882352941177	0.21276595744680854	0.29069767441860467
ecDNA	0.98	0.5324539482593527	13	28	5	0.38461538461538464	0.17857142857142858	0.24390243902439027	0.3125
ecDNA	0.985	0.5592583373188967	13	21	3	0.23076923076923078	0.14285714285714285	0.17647058823529413	0.2054794520547945
ecDNA	0.99	0.6071598380804063	13	14	1	0.07692307692307693	0.07142857142857142	0.07407407407407408	0.07575757575757576
ecDNA	0.992	0.6334656500816351	13	11	1	0.07692307692307693	0.09090909090909091	0.08333333333333334	0.07936507936507937
ecDNA	0.994	0.6596933054924001	13	9	1	0.07692307692307693	0.1111111111111111	0.09090909090909093	0.0819672131147541
ecDNA	0.996	0.6876586925983419	13	6	0	0.0	0.0	0.0	0.0
ecDNA	0.998	0.7101203888654706	13	3	0	0.0	0.0	0.0	0.0
ecDNA	0.999	0.7259279313683507	13	2	0	0.0	0.0	0.0	0.0
chromothripsis	0.0	0.20878879725933075	36	1356	30	0.8333333333333334	0.022123893805309734	0.043103448275862065	0.1
chromothripsis	0.05	0.3476819843053818	36	1288	30	0.8333333333333334	0.023291925465838508	0.045317220543806644	0.10474860335195531
chromothripsis	0.1	0.38489218056201935	36	1220	30	0.8333333333333334	0.02459016393442623	0.04777070063694268	0.10997067448680352
chromothripsis	0.15000000000000002	0.40414372831583023	36	1152	30	0.8333333333333334	0.026041666666666668	0.05050505050505051	0.11574074074074076
chromothripsis	0.2	0.420512855052948	36	1085	29	0.8055555555555556	0.026728110599078342	0.05173951828724353	0.11798209926769732
chromothripsis	0.25	0.4320235177874565	36	1017	28	0.7777777777777778	0.02753195673549656	0.05318138651471985	0.12058570198105083
chromothripsis	0.30000000000000004	0.4409428536891937	36	949	28	0.7777777777777778	0.029504741833508957	0.0568527918781726	0.1280878316559927
chromothripsis	0.35000000000000003	0.44972483813762665	36	881	26	0.7222222222222222	0.029511918274687854	0.05670665212649946	0.12682926829268293
chromothripsis	0.4	0.45758283138275146	36	814	25	0.6944444444444444	0.030712530712530713	0.05882352941176471	0.13048016701461376
chromothripsis	0.45	0.46774135529994965	36	746	25	0.6944444444444444	0.03351206434316354	0.06393861892583119	0.1404494382022472
chromothripsis	0.5	0.4768284112215042	36	678	20	0.5555555555555556	0.029498525073746312	0.05602240896358544	0.12165450121654502
chromothripsis	0.55	0.4856206476688385	36	610	20	0.5555555555555556	0.03278688524590164	0.06191950464396285	0.13262599469496023
chromothripsis	0.6000000000000001	0.4945797026157379	36	543	19	0.5277777777777778	0.034990791896869246	0.06563039723661485	0.13828238719068414
chromothripsis	0.65	0.5057805478572845	36	475	19	0.5277777777777778	0.04	0.07436399217221135	0.15347334410339258
chromothripsis	0.7000000000000001	0.5158213376998901	36	407	18	0.5	0.044226044226044224	0.08126410835214447	0.16333938294010888
chromothripsis	0.75	0.5283823609352112	36	339	18	0.5	0.05309734513274336	0.096	0.18633540372670807
chromothripsis	0.8	0.5441442728042603	36	272	17	0.4722222222222222	0.0625	0.11038961038961038	0.20432692307692307
chromothripsis	0.8500000000000001	0.564264476299286	36	204	14	0.3888888888888889	0.06862745098039216	0.11666666666666667	0.20114942528735633
chromothripsis	0.9	0.5898714661598206	36	136	11	0.3055555555555556	0.08088235294117647	0.12790697674418605	0.19642857142857145
chromothripsis	0.91	0.5981115370988845	36	122	11	0.3055555555555556	0.09016393442622951	0.13924050632911394	0.20676691729323313
chromothripsis	0.915	0.6031967073678971	36	116	10	0.2777777777777778	0.08620689655172414	0.13157894736842107	0.19230769230769232
chromothripsis	0.92	0.6060960412025452	36	109	10	0.2777777777777778	0.09174311926605505	0.13793103448275862	0.19762845849802374
chromothripsis	0.925	0.610927939414978	36	102	10	0.2777777777777778	0.09803921568627451	0.14492753623188406	0.20325203252032517
chromothripsis	0.93	0.6148489832878113	36	95	10	0.2777777777777778	0.10526315789473684	0.15267175572519082	0.20920502092050208
chromothripsis	0.935	0.6217298030853273	36	89	10	0.2777777777777778	0.11235955056179775	0.16	0.21459227467811162
chromothripsis	0.9400000000000001	0.6252637505531311	36	82	10	0.2777777777777778	0.12195121951219512	0.16949152542372883	0.22123893805309736
chromothripsis	0.9450000000000001	0.6280052527785301	36	75	10	0.2777777777777778	0.13333333333333333	0.18018018018018017	0.228310502283105
chromothripsis	0.95	0.6341736167669296	36	68	10	0.2777777777777778	0.14705882352941177	0.1923076923076923	0.23584905660377362
chromothripsis	0.955	0.6405631124973297	36	61	10	0.2777777777777778	0.16393442622950818	0.20618556701030927	0.24390243902439024
chromothripsis	0.96	0.6478127479553222	36	55	10	0.2777777777777778	0.18181818181818182	0.2197802197802198	0.25125628140703515
chromothripsis	0.965	0.6566226705908775	36	48	9	0.25	0.1875	0.21428571428571427	0.234375
chromothripsis	0.97	0.6663655400276183	36	41	9	0.25	0.21951219512195122	0.2337662337662338	0.24324324324324328
chromothripsis	0.975	0.675466738641262	36	34	8	0.2222222222222222	0.23529411764705882	0.22857142857142856	0.22471910112359555
chromothripsis	0.98	0.6958056330680843	36	28	8	0.2222222222222222	0.2857142857142857	0.25	0.23255813953488366
chromothripsis	0.985	0.7126676812767982	36	21	7	0.19444444444444445	0.3333333333333333	0.24561403508771928	0.21212121212121213
chromothripsis	0.99	0.7279681414365768	36	14	5	0.1388888888888889	0.35714285714285715	0.2	0.15822784810126583
chromothripsis	0.992	0.7351107501983644	36	11	4	0.1111111111111111	0.36363636363636365	0.1702127659574468	0.12903225806451613
chromothripsis	0.994	0.7386639803647993	36	9	3	0.08333333333333333	0.3333333333333333	0.13333333333333333	0.09803921568627451
chromothripsis	0.996	0.7511516916751859	36	6	2	0.05555555555555555	0.3333333333333333	0.09523809523809525	0.06666666666666665
chromothripsis	0.998	0.767910848855972	36	3	1	0.027777777777777776	0.3333333333333333	0.05128205128205128	0.03401360544217687
chromothripsis	0.999	0.7920647662878031	36	2	1	0.027777777777777776	0.5	0.05263157894736842	0.03424657534246576
BFB	0.0	0.13349676132202148	42	1356	34	0.8095238095238095	0.025073746312684365	0.04864091559370529	0.11154855643044619
BFB	0.05	0.21373768523335457	42	1288	34	0.8095238095238095	0.026397515527950312	0.05112781954887218	0.11675824175824176
BFB	0.1	0.23576727509498596	42	1220	34	0.8095238095238095	0.027868852459016394	0.05388272583201268	0.12247838616714697
BFB	0.15000000000000002	0.24946998804807663	42	1152	34	0.8095238095238095	0.029513888888888888	0.05695142378559464	0.12878787878787878
BFB	0.2	0.2600240707397461	42	1085	34	0.8095238095238095	0.03133640552995392	0.060337178349600715	0.13567438148443736
BFB	0.25	0.27173714339733124	42	1017	34	0.8095238095238095	0.03343166175024582	0.06421152030217185	0.14345991561181434
BFB	0.30000000000000004	0.2829364985227585	42	949	34	0.8095238095238095	0.03582718651211802	0.06861755802219979	0.1521933751119069
BFB	0.35000000000000003	0.29230304062366486	42	881	34	0.8095238095238095	0.03859250851305335	0.07367280606717226	0.16205910390848424
BFB	0.4	0.30111873149871826	42	814	34	0.8095238095238095	0.04176904176904177	0.07943925233644861	0.17311608961303462
BFB	0.45	0.3104180470108986	42	746	34	0.8095238095238095	0.045576407506702415	0.08629441624365483	0.18599562363238512
BFB	0.5	0.32141050696372986	42	678	34	0.8095238095238095	0.05014749262536873	0.09444444444444443	0.20094562647754136
BFB	0.55	0.33313729614019394	42	610	33	0.7857142857142857	0.054098360655737705	0.10122699386503069	0.2120822622107969
BFB	0.6000000000000001	0.34205654263496404	42	543	33	0.7857142857142857	0.06077348066298342	0.11282051282051282	0.23206751054852323
BFB	0.65	0.3546099439263344	42	475	33	0.7857142857142857	0.06947368421052631	0.1276595744680851	0.2566096423017107
BFB	0.7000000000000001	0.37008590996265417	42	407	33	0.7857142857142857	0.08108108108108109	0.14699331848552338	0.28695652173913044
BFB	0.75	0.38614898175001144	42	339	33	0.7857142857142857	0.09734513274336283	0.1732283464566929	0.3254437869822485
BFB	0.8	0.40955519676208496	42	272	32	0.7619047619047619	0.11764705882352941	0.2038216560509554	0.36363636363636365
BFB	0.8500000000000001	0.43994300812482834	42	204	31	0.7380952380952381	0.15196078431372548	0.25203252032520324	0.41666666666666663
BFB	0.9	0.49186187982559204	42	136	30	0.7142857142857143	0.22058823529411764	0.33707865168539325	0.493421052631579
BFB	0.91	0.5185420781373977	42	122	29	0.6904761904761905	0.23770491803278687	0.35365853658536583	0.49999999999999994
BFB	0.915	0.5333143502473832	42	116	29	0.6904761904761905	0.25	0.3670886075949367	0.5105633802816901
BFB	0.92	0.5501159906387331	42	109	28	0.6666666666666666	0.25688073394495414	0.3708609271523179	0.5054151624548737
BFB	0.925	0.561007097363472	42	102	28	0.6666666666666666	0.27450980392156865	0.38888888888888895	0.5185185185185185
