split	n_candidates	n_labeled	n_empty	tp	fp	fn	tn	objectness_precision	objectness_recall	objectness_f1	class_exact_match_labeled	class_any_match_labeled	secondary_min	secondary_delta	mean_predicted_labels_labeled	multicall_rate_labeled	mean_extra_labels_labeled	mean_missing_labels_labeled	empty_false_positive_rate	meets_constraints	secondary_objective
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.0	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.05000000074505806	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.10000000149011612	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.15000000596046448	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.20000000298023224	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.25	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.30000001192092896	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.3499999940395355	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.4000000059604645	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.6000000238418579	0.44999998807907104	1.0084388185654007	0.0759493670886076	0.12236286919831224	0.569620253164557	0.494949494949495	True	0.8635021097046413
