class_name	type_tau	precision	recall	f1	tp	fp	fn	tn
Seismic_Amplification	0.5199999809265137	1.0	0.6336633663366337	0.7757575757575758	64	0	37	136
Seismic_Amplification	0.5299999713897705	1.0	0.6138613861386139	0.7607361963190183	62	0	39	136
Seismic_Amplification	0.5400000214576721	1.0	0.594059405940594	0.7453416149068323	60	0	41	136
Seismic_Amplification	0.550000011920929	1.0	0.5643564356435643	0.7215189873417721	57	0	44	136
Seismic_Amplification	0.5600000023841858	1.0	0.5445544554455446	0.7051282051282052	55	0	46	136
Seismic_Amplification	0.5699999928474426	1.0	0.5346534653465347	0.6967741935483871	54	0	47	136
Seismic_Amplification	0.5799999833106995	1.0	0.5346534653465347	0.6967741935483871	54	0	47	136
Seismic_Amplification	0.5899999737739563	1.0	0.5346534653465347	0.6967741935483871	54	0	47	136
Seismic_Amplification	0.6000000238418579	1.0	0.48514851485148514	0.6533333333333333	49	0	52	136
Seismic_Amplification	0.6100000143051147	1.0	0.48514851485148514	0.6533333333333333	49	0	52	136
Seismic_Amplification	0.6200000047683716	1.0	0.46534653465346537	0.6351351351351352	47	0	54	136
Seismic_Amplification	0.6299999952316284	1.0	0.45544554455445546	0.6258503401360545	46	0	55	136
Seismic_Amplification	0.6399999856948853	1.0	0.4158415841584158	0.5874125874125874	42	0	59	136
Seismic_Amplification	0.6499999761581421	1.0	0.40594059405940597	0.5774647887323945	41	0	60	136
Seismic_Amplification	0.6600000262260437	1.0	0.3465346534653465	0.5147058823529412	35	0	66	136
Seismic_Amplification	0.6700000166893005	1.0	0.31683168316831684	0.48120300751879697	32	0	69	136
Seismic_Amplification	0.6800000071525574	1.0	0.3069306930693069	0.46969696969696967	31	0	70	136
Seismic_Amplification	0.6899999976158142	1.0	0.26732673267326734	0.421875	27	0	74	136
Seismic_Amplification	0.699999988079071	1.0	0.25742574257425743	0.4094488188976378	26	0	75	136
Seismic_Amplification	0.7099999785423279	1.0	0.1782178217821782	0.3025210084033613	18	0	83	136
Seismic_Amplification	0.7200000286102295	1.0	0.16831683168316833	0.288135593220339	17	0	84	136
Seismic_Amplification	0.7300000190734863	1.0	0.13861386138613863	0.2434782608695652	14	0	87	136
Seismic_Amplification	0.7400000095367432	1.0	0.13861386138613863	0.2434782608695652	14	0	87	136
Seismic_Amplification	0.75	1.0	0.09900990099009901	0.18018018018018017	10	0	91	136
Seismic_Amplification	0.7599999904632568	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	0.7699999809265137	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	0.7799999713897705	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	0.7900000214576721	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	0.800000011920929	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	0.8100000023841858	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	0.8199999928474426	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
