class_name	type_tau	precision	recall	f1	tp	fp	fn	tn
Seismic_Amplification	0.5899999737739563	1.0	0.5742574257425742	0.7295597484276729	58	0	43	136
Seismic_Amplification	0.6000000238418579	1.0	0.5445544554455446	0.7051282051282052	55	0	46	136
Seismic_Amplification	0.6100000143051147	1.0	0.5346534653465347	0.6967741935483871	54	0	47	136
Seismic_Amplification	0.6200000047683716	1.0	0.5247524752475248	0.6883116883116883	53	0	48	136
Seismic_Amplification	0.6299999952316284	1.0	0.5148514851485149	0.6797385620915033	52	0	49	136
Seismic_Amplification	0.6399999856948853	1.0	0.504950495049505	0.6710526315789473	51	0	50	136
Seismic_Amplification	0.6499999761581421	1.0	0.4752475247524752	0.6442953020134228	48	0	53	136
Seismic_Amplification	0.6600000262260437	1.0	0.44554455445544555	0.6164383561643836	45	0	56	136
Seismic_Amplification	0.6700000166893005	1.0	0.40594059405940597	0.5774647887323945	41	0	60	136
Seismic_Amplification	0.6800000071525574	1.0	0.32673267326732675	0.4925373134328358	33	0	68	136
Seismic_Amplification	0.6899999976158142	1.0	0.297029702970297	0.4580152671755725	30	0	71	136
Seismic_Amplification	0.699999988079071	1.0	0.2871287128712871	0.4461538461538461	29	0	72	136
Seismic_Amplification	0.7099999785423279	1.0	0.2079207920792079	0.3442622950819672	21	0	80	136
Seismic_Amplification	0.7200000286102295	1.0	0.2079207920792079	0.3442622950819672	21	0	80	136
Seismic_Amplification	0.7300000190734863	1.0	0.1188118811881188	0.21238938053097342	12	0	89	136
Seismic_Amplification	0.7400000095367432	1.0	0.0891089108910891	0.1636363636363636	9	0	92	136
Seismic_Amplification	0.75	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	0.7599999904632568	1.0	0.04950495049504951	0.09433962264150944	5	0	96	136
Seismic_Amplification	0.7699999809265137	1.0	0.039603960396039604	0.07619047619047618	4	0	97	136
Seismic_Amplification	0.7799999713897705	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.7900000214576721	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.800000011920929	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8100000023841858	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8199999928474426	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8299999833106995	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8399999737739563	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8500000238418579	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8600000143051147	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8700000047683716	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8799999952316284	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8899999856948853	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.8999999761581421	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.9100000262260437	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.9200000166893005	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.9300000071525574	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.9399999976158142	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	0.949999988079071	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
chromothripsis	0.05000000074505806	0.4930555555555556	0.9594594594594594	0.6513761467889908	71	73	3	90
chromothripsis	0.05999999865889549	0.5419847328244275	0.9594594594594594	0.6926829268292682	71	60	3	103
chromothripsis	0.07000000029802322	0.5867768595041323	0.9594594594594594	0.7282051282051282	71	50	3	113
chromothripsis	0.07999999821186066	0.6016949152542372	0.9594594594594594	0.7395833333333334	71	47	3	116
chromothripsis	0.09000000357627869	0.6339285714285714	0.9594594594594594	0.7634408602150536	71	41	3	122
chromothripsis	0.10000000149011612	0.6396396396396397	0.9594594594594594	0.7675675675675677	71	40	3	123
chromothripsis	0.10999999940395355	0.6761904761904762	0.9594594594594594	0.7932960893854749	71	34	3	129
chromothripsis	0.11999999731779099	0.7029702970297029	0.9594594594594594	0.8114285714285714	71	30	3	133
chromothripsis	0.12999999523162842	0.7244897959183674	0.9594594594594594	0.8255813953488371	71	27	3	136
chromothripsis	0.14000000059604645	0.7634408602150538	0.9594594594594594	0.8502994011976047	71	22	3	141
chromothripsis	0.15000000596046448	0.7717391304347826	0.9594594594594594	0.855421686746988	71	21	3	142
chromothripsis	0.1599999964237213	0.7888888888888889	0.9594594594594594	0.8658536585365852	71	19	3	144
chromothripsis	0.17000000178813934	0.7954545454545454	0.9459459459459459	0.8641975308641975	70	18	4	145
chromothripsis	0.18000000715255737	0.8214285714285714	0.9324324324324325	0.8734177215189872	69	15	5	148
chromothripsis	0.1899999976158142	0.8518518518518519	0.9324324324324325	0.8903225806451613	69	12	5	151
chromothripsis	0.20000000298023224	0.85	0.918918918918919	0.8831168831168831	68	12	6	151
chromothripsis	0.20999999344348907	0.85	0.918918918918919	0.8831168831168831	68	12	6	151
chromothripsis	0.2199999988079071	0.85	0.918918918918919	0.8831168831168831	68	12	6	151
chromothripsis	0.23000000417232513	0.8589743589743589	0.9054054054054054	0.881578947368421	67	11	7	152
