class_name	subtype_level	subtype_value_min	subtype_tau	precision	recall	f1	tp	fp	fn	tn
Seismic_Amplification	noncanonical	0.5	0.6200000047683716	1.0	0.5247524752475248	0.6883116883116883	53	0	48	136
Seismic_Amplification	noncanonical	0.5	0.6299999952316284	1.0	0.5148514851485149	0.6797385620915033	52	0	49	136
Seismic_Amplification	noncanonical	0.5	0.6399999856948853	1.0	0.504950495049505	0.6710526315789473	51	0	50	136
Seismic_Amplification	noncanonical	0.5	0.6499999761581421	1.0	0.4752475247524752	0.6442953020134228	48	0	53	136
Seismic_Amplification	noncanonical	0.5	0.6600000262260437	1.0	0.44554455445544555	0.6164383561643836	45	0	56	136
Seismic_Amplification	noncanonical	0.5	0.6700000166893005	1.0	0.40594059405940597	0.5774647887323945	41	0	60	136
Seismic_Amplification	noncanonical	0.5	0.6800000071525574	1.0	0.32673267326732675	0.4925373134328358	33	0	68	136
Seismic_Amplification	noncanonical	0.5	0.6899999976158142	1.0	0.297029702970297	0.4580152671755725	30	0	71	136
Seismic_Amplification	noncanonical	0.5	0.699999988079071	1.0	0.2871287128712871	0.4461538461538461	29	0	72	136
Seismic_Amplification	noncanonical	0.5	0.7099999785423279	1.0	0.2079207920792079	0.3442622950819672	21	0	80	136
Seismic_Amplification	noncanonical	0.5	0.7200000286102295	1.0	0.2079207920792079	0.3442622950819672	21	0	80	136
Seismic_Amplification	noncanonical	0.5	0.7300000190734863	1.0	0.1188118811881188	0.21238938053097342	12	0	89	136
Seismic_Amplification	noncanonical	0.5	0.7400000095367432	1.0	0.0891089108910891	0.1636363636363636	9	0	92	136
Seismic_Amplification	noncanonical	0.5	0.75	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	noncanonical	0.5	0.7599999904632568	1.0	0.04950495049504951	0.09433962264150944	5	0	96	136
Seismic_Amplification	noncanonical	0.5	0.7699999809265137	1.0	0.039603960396039604	0.07619047619047618	4	0	97	136
Seismic_Amplification	noncanonical	0.5	0.7799999713897705	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.7900000214576721	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.800000011920929	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8100000023841858	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8199999928474426	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8299999833106995	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8399999737739563	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8500000238418579	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8600000143051147	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8700000047683716	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8799999952316284	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8899999856948853	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.8999999761581421	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.9100000262260437	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.9200000166893005	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.9300000071525574	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.9399999976158142	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	noncanonical	0.5	0.949999988079071	1.0	0.0297029702970297	0.05769230769230769	3	0	98	136
Seismic_Amplification	canonical	1.0	0.05000000074505806	0.08465608465608465	1.0	0.15609756097560976	16	173	0	48
Seismic_Amplification	canonical	1.0	0.05999999865889549	0.09248554913294797	1.0	0.1693121693121693	16	157	0	64
Seismic_Amplification	canonical	1.0	0.07000000029802322	0.0975609756097561	1.0	0.17777777777777776	16	148	0	73
